Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
IPI00307884.1;IPI00922985.1	Nucleolar protein 12;Nucleolar protein of 25 kDa	Nol12;Nop25;RP23-414K1.3-005	Nucleolar protein 12;Nucleolar protein 12	Q8BG17;B7ZBX8;B7ZBX7	NP_598561	NM_133800	ENSMUST00000041164	MGI:2146285	217	25.36	86627.19	13600.72	34324.8	20.67	24.74	22.61	15.66	18.14	16.85	10.45	12.56	11.46	1.83	1.84	1.84	289.09	32.87	97.48
IPI00124803.1;IPI00830734.1;IPI00830879.1	Zinc finger protein ZPR1;Zinc finger protein 259	Znf259;Zfp259;Zpr1	Zinc finger protein ZPR1;Protein;48 kDa protein	Q62384;Q3TI08;Q3TIH8;Q3TY03;Q8C8U3;Q9CUE2;Q9JJA1	NP_035882	NM_011752	ENSMUST00000114552	MGI:1330262	459	50.71	86624.34	49197.51	65281.71	17.08	17.5	17.29	56.12	79.84	66.94	9.55	8.97	9.26	1.61	1.68	1.65	189.11	85.51	127.16
IPI00114953.1;IPI00656171.1;IPI00656169.1;IPI00885514.1;IPI00831147.1;IPI00621144.2;IPI00461604.1;IPI00187463.3;IPI00830880.1;IPI00885922.1	Cell division protein kinase 9;Cyclin-dependent kinase 9	Cdk9	Isoform 1 of Cell division protein kinase 9;Isoform 2 of Cell division protein kinase 9;Isoform 3 of Cell division protein kinase 9	Q99J95-1;Q99J95;A2AK82;Q99J95-2;Q99J95-3	NP_570930	NM_130860	ENSMUST00000009699	MGI:1328368;MGI:1328368;MGI:1328368	372	42.76	86547.42	42164.14	60408.59	11.38	10.25	10.8	32.86	33.05	32.96	8.22	6.88	7.52	1.21	1.22	1.21	349.13	174.7	246.97
IPI00118372.1;IPI00404693.1	"Vesicle-associated membrane protein 4;Putative uncharacterized protein;Vesicle-associated membrane protein 4, isoform CRA_c"	Vamp4;mCG_22688	"Vesicle-associated membrane protein 4;Vesicle-associated membrane protein 4, isoform CRA_c"	O70480;Q8BSN6	NP_058076	NM_016796	ENSMUST00000086068;ENSMUST00000111573;ENSMUST00000050010	MGI:1858730;MGI:1858730	141	16.35	86088.36	38523.71	57588.57	2.54	2.44	2.49	23.51	24.67	24.08	7.87	6.76	7.3	0.28	0.29	0.29	1835.37	782.04	1198.06
IPI00127050.1;IPI00881534.1;IPI00408727.3;IPI00881568.1;IPI00881722.1	"Inorganic pyrophosphatase 2, mitochondrial"	Ppa2	"Isoform 1 of Inorganic pyrophosphatase 2, mitochondrial;38 kDa protein;Isoform 2 of Inorganic pyrophosphatase 2, mitochondrial;17 kDa protein"	Q91VM9-1;Q91VM9;Q91VM9-2	NP_666253	NM_146141	ENSMUST00000029644;ENSMUST00000106315	MGI:1922026;MGI:1922026	330	38.11	86008.29	77495.63	81641.08	20.16	11.59	15.28	145.03	571.67	287.94	12.46	9.33	10.78	1.57	1.08	1.3	127.23	153.99	139.97
IPI00320034.6	DNA-directed RNA polymerase II subunit RPB2;DNA-directed RNA polymerase II subunit B;RNA polymerase II subunit B2;RNA polymerase II subunit 2;DNA-directed RNA polymerase II 140 kDa polypeptide	Polr2b	DNA-directed RNA polymerase II subunit RPB2	Q8CFI7;B2WTN8	NP_722493	NM_153798	ENSMUST00000031167	MGI:2388280	1174	133.91	85916.82	54861.81	68655.31	36.62	31.03	33.71	18.19	23.76	20.79	11.28	12.64	11.94	3.07	2.3	2.66	147.5	89.86	115.13
IPI00896700.1;IPI00130920.1	Mtap1b protein;Microtubule-associated protein 1B;MAP1.2;MAP1(X);MAP1 light chain LC1	Mtap1b;Map1b;Mtap5	microtubule-associated protein 1B;Microtubule-associated protein 1B	A0PJ96;B2RQQ5;Q3TYV8;Q3TZM8;Q3UF78;Q3UPV4;Q8CAI9;Q8CFR9;P14873	NP_032660	NM_008634	ENSMUST00000064762	MGI:1306778;MGI:1306778	2464	270.25	85831.35	63634.93	73904.48	15.72	13.9	14.78	75.42	196.83	121.84	8.25	9.73	8.96	1.66	1.25	1.44	186.3	115.98	146.99
IPI00377642.2	Pituitary tumor-transforming gene 1 protein-interacting protein;Pituitary tumor-transforming gene protein-binding factor	Pttg1ip	Pituitary tumor-transforming gene 1 protein-interacting protein	Q8R143;Q3U9U7	NP_666037	NM_145925	ENSMUST00000009435	MGI:2652132	174	19.96	85528.52	35320.34	54962.68	128.64	108.91	118.37	7.34	9.47	8.34	11.92	15.62	13.65	10.35	6.98	8.5	79.01	30.67	49.22
IPI00402911.1;IPI00111740.1;	U3 small nucleolar ribonucleoprotein protein MPP10;M phase phosphoprotein 10	Mphosph10	U3 small nucleolar ribonucleoprotein protein MPP10	Q810V0;A0PJ89	NP_080759	NM_026483	ENSMUST00000032735	MGI:1915223	681	78.67	85470.88	88803.39	87121.2	18.83	19.14	18.98	51.13	41.24	45.92	3.51	9.01	5.63	4.09	1.83	2.74	172.93	178.49	175.69
IPI00331596.6;IPI00652845.3;IPI00881627.1;IPI00881315.1	Peroxisomal trans-2-enoyl-CoA reductase;Putative uncharacterized protein	Pecr	Peroxisomal trans-2-enoyl-CoA reductase;Putative uncharacterized protein;9 kDa protein	Q99MZ7;Q3UXD9	NP_076012	NM_023523	ENSMUST00000027381;ENSMUST00000097698	MGI:2148199;MGI:2148199	303	32.41	85398.75	51192.86	66119.64	5.1	4.18	4.62	212.42	NA	212.42	7.48	10.64	8.92	0.58	NA	0.58	472.57	NA	472.57
IPI00816884.1;IPI00885560.1;IPI00885720.1			heterogeneous nuclear ribonucleoprotein H3;35 kDa protein		NP_001073293	NM_001079824			346	36.87	85381.25	129830.2	105285.63	11.82	7.12	9.17	131.36	NA	131.36	4.33	10.32	6.68	2.13	NA	2.13	217.06	NA	217.06
IPI00655217.2;IPI00352984.4;IPI00653163.1;IPI00469380.3	Xanthine dehydrogenase;Xanthine dehydrogenase/oxidase;Xanthine oxidase;Xanthine oxidoreductase	Xdh	xanthine dehydrogenase;Xanthine dehydrogenase/oxidase	B2RUJ7;Q3TAT6;Q3UMS6;Q99KV3;Q9CVF2;Q00519	NP_035853	NM_011723	ENSMUST00000024866	MGI:98973;MGI:98973	1335	146.56	85225.37	132946.5	106444.42	33.23	51.64	41.43	37.37	43.69	40.41	13.51	16.53	14.94	2.45	3.19	2.8	111.58	96.98	104.03
IPI00756696.2;IPI00885442.1;IPI00756355.2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	Ppp4r2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	Q0VGB7	NP_891984	NM_182939	ENSMUST00000063854	MGI:3027896	417	46.48	85091.48	47529.82	63595.46	14.49	18.95	16.57	19.56	21.04	20.28	5.34	7.56	6.35	2.18	2.09	2.14	351.64	136.3	218.93
IPI00122471.5	Putative uncharacterized protein	Gltscr2	glioma tumor suppressor candidate region gene 2	Q3USL3;Q8BK35;Q8BTX4;Q8R126;Q8VD18;Q9CV23	NP_598592	NM_133831	ENSMUST00000044158	MGI:2154441	484	55.79	84661.43	56746.34	69312.53	45.64	42.09	43.83	8.33	8.56	8.45	8.7	9.83	9.25	4.63	3.77	4.18	199.29	137.53	165.56
IPI00110351.1;IPI00856607.1	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Lhpp	Isoform 1 of Phospholysine phosphohistidine inorganic pyrophosphate phosphatase;Isoform 2 of Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Q9D7I5-1;Q9D7I5;Q9D7I5-2	NP_083885	NM_029609	ENSMUST00000033241	MGI:1923679;MGI:1923679	270	29.14	84637.61	32939.44	52800.72	7.54	8.22	7.87	134.98	NA	134.98	15.99	21.74	18.64	0.5	NA	0.5	338.96	NA	338.96
IPI00135252.2;IPI00228860.3	ATPase family AAA domain-containing protein 2	Atad2	"ATPase family, AAA domain containing 2;Isoform 1 of ATPase family AAA domain-containing protein 2"	Q8CDM1-2;Q8CDM1;Q9CSS4;Q8CDM1-1;Q6IQY4;Q8K282	NP_081711	NM_027435	ENSMUST00000022988;ENSMUST00000038194	MGI:1917722;MGI:1917722	1364	155.28	84584.4	17958.89	38974.89	29.12	30.9	30	5.15	5.08	5.11	5.14	6.62	5.84	4.53	3.8	4.15	458.35	91.04	204.28
IPI00321499.1;IPI00606647.3	Bcl-2-like protein 13;Protein Mil1;Bcl-rambo;Putative uncharacterized protein	Bcl2l13;Mil1	Bcl-2-like protein 13;BCL2-like 13	P59017;Q3TNR7;Q3UGC5;Q543S1	NP_705736	NM_153516	ENSMUST00000009256	MGI:2136959;MGI:2136959	434	46.67	84524.73	124162.4	102444.1	6.46	7.15	6.8	162.26	97.83	125.99	12.57	14.33	13.42	0.5	0.49	0.49	383.35	502.18	438.76
IPI00111169.1;IPI00751863.1	Cytosolic phospholipase A2;Phospholipase A2 group IVA;Phospholipase A2;Phosphatidylcholine 2-acylhydrolase;Lysophospholipase;Putative uncharacterized protein	Pla2g4a;Cpla2;Pla2g4	Cytosolic phospholipase A2;Putative uncharacterized protein	P47713;Q3UMQ1;Q9DBX5	NP_032895	NM_008869	ENSMUST00000070200;ENSMUST00000111926	MGI:1195256;MGI:1195256	748	85.22	84469.19	239157.53	142131.78	18.27	21.12	19.64	81.07	62.53	71.2	9.2	13.58	11.17	1.78	1.49	1.63	154.88	372.54	240.21
IPI00115190.1	"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"	Pde6d	"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"	O55057;Q3TDQ8;Q3URU9	NP_032827	NM_008801	ENSMUST00000027444	MGI:1270843	150	17.35	84403.95	84058.12	84230.86	11.2	10.01	10.59	33.97	43.69	38.52	6.34	12.21	8.8	1.46	0.76	1.06	339.91	315.89	327.68
IPI00474116.3;IPI00845833.1;IPI00464334.3	Calcineurin subunit B type 1;Protein phosphatase 2B regulatory subunit 1;Protein phosphatase 3 regulatory subunit B alpha isoform 1	Ppp3r1;Cnb	Isoform 1 of Calcineurin subunit B type 1;Isoform 2 of Calcineurin subunit B type 1	Q63810-1;Q63810;Q63810-2	NP_077779	NM_024459	ENSMUST00000102880	MGI:107172;MGI:107172	170	19.3	84337.37	194230.02	127987.69	23.76	19.35	21.44	126.98	2284.5	538.6	7.89	7.53	7.7	2.6	2.14	2.36	107.91	221.72	154.68
IPI00127406.1;IPI00857601.1	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3;Lysyl hydroxylase 3"	Plod3	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"	Q9R0E1	NP_036092	NM_011962	ENSMUST00000004968	MGI:1347008	741	84.92	83637.4	185600.86	124592.02	37.28	37.34	37.31	30.32	32.64	31.46	20.92	32.04	25.89	2.1	1.57	1.81	107.42	214.22	151.7
IPI00322794.1	GTP-binding protein SAR1a	Sar1a;Sara;Sara1	GTP-binding protein SAR1a	P36536			ENSMUST00000020285	MGI:98230	198	22.37	83341.11	87912.52	85596.3	NA	NA	NA	53.25	88.06	68.48	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00884555.1;IPI00457959.2	Putative uncharacterized protein;Protein pelota homolog	Pelo	pelota homolog;Protein pelota homolog	Q3TCN0;Q3THL5;Q80X73	NP_598819	NM_134058	ENSMUST00000109226	MGI:2145154;MGI:2145154	385	43.35	82990.99	23443.21	44108.68	NA	NA	NA	17.82	30.08	23.15	4.57	3.17	3.81	NA	NA	NA	NA	NA	NA
IPI00663555.1			similar to ribosomal protein		XP_895491;XP_917966				151	17.29	82963.77	2038.42	13004.41	NA	NA	NA	140.63	196.08	166.06	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00119945.1	Nitrilase homolog 2	Nit2;D16Ertd502e	Omega-amidase NIT2	Q9JHW2	NP_075664	NM_023175	ENSMUST00000023432	MGI:1261838	276	30.5	82909.78	130743.06	104114.74	6.98	6.72	6.85	197.68	1173.7	481.68	6.51	8.09	7.26	0.89	0.7	0.79	337.77	435.78	383.66
IPI00131810.2;IPI00918528.1;IPI00918600.1;IPI00918419.1;IPI00918357.1;IPI00918150.1	Zinc finger RNA-binding protein	Zfr	Zinc finger RNA-binding protein	O88532;B2RUG7	NP_035897	NM_011767	ENSMUST00000022814	MGI:1341890	1074	116.86	82803.22	21881.41	42565.84	33.68	35.12	34.4	24.43	23.63	24.03	9.2	17.84	12.82	3.27	2.06	2.6	130.67	31.82	64.48
IPI00929839.1;IPI00137206.1;IPI00918533.1	Putative uncharacterized protein;Actin-related protein 10	Actr10;Act11;Actr11;Arp11	ARP10 actin-related protein 10;Actin-related protein 10	Q3TT18;Q9QZB7	NP_062759	NM_019785	ENSMUST00000021479	MGI:1891654;MGI:1891654	417	46.21	82764.17	73667.49	78083.47	6.57	5.7	6.12	61.2	57.14	59.13	19.04	14.64	16.7	0.39	0.38	0.39	458.67	438.53	448.49
IPI00127947.3;IPI00130277.1	Putative uncharacterized protein;Protein Red;Protein RER;IK factor;Cytokine IK	Ik;Red;Rer	IK cytokine;Protein Red	Q3TJY5;Q8C2T9;Q8C7D0;Q8CDT0;Q95H93;Q9Z1M8	NP_036009	NM_011879	ENSMUST00000007042	MGI:1345142;MGI:1345142	557	65.61	82738.14	59750.14	70310.85	36.98	51.53	43.65	10.58	9.93	10.25	6.98	29.25	14.29	4.46	2.27	3.18	200.77	106.03	145.9
IPI00173110.5;IPI00649997.1;IPI00648153.1	WD repeat domain phosphoinositide-interacting protein 3;WD repeat-containing protein 45-like;Wdr45 like	Wdr45l;Wipi3;RP23-293H17.1-004	WD repeat domain phosphoinositide-interacting protein 3;Wdr45 like	Q9CR39;B1ATT1;B1ATT2	NP_080069	NM_025793	ENSMUST00000026173;ENSMUST00000106110	MGI:1914090	344	38.02	82434.95	50208.89	64334.81	NA	NA	NA	76.37	37.14	53.25	9.67	10.14	9.9	NA	NA	NA	NA	NA	NA
IPI00123194.1;IPI00461874.1;IPI00123196.1	Biglycan;Bone/cartilage proteoglycan I;PG-S1	Bgn	Biglycan	P28653;Q3TAF9;Q3TNY9;Q3UXK8;Q7TMW3	NP_031568	NM_007542	ENSMUST00000033741;ENSMUST00000116585	MGI:88158	369	41.64	82174.32	241500.23	140872.7	428.98	725.35	557.82	0.56	0.69	0.62	15.84	50.57	28.31	28.53	24.93	26.67	242.08	343.69	288.44
IPI00129636.1;IPI00918403.2;IPI00918595.1	N-myc-interactor;N-myc and STAT interactor	Nmi	N-myc-interactor	O35309;Q3UJ82;Q4FJP2	NP_001135420;NP_001135421;NP_062274	NM_001141948	ENSMUST00000028314;ENSMUST00000112705	MGI:1928368	314	35.23	82031.89	71710.9	76697.98	4.6	6.26	5.37	158.95	NA	158.95	8.46	9.15	8.8	0.48	NA	0.48	522.95	NA	522.95
IPI00133128.1	DNA-directed RNA polymerase I subunit RPA12;Zinc ribbon domain-containing protein 1	Znrd1;Rpa12	DNA-directed RNA polymerase I subunit RPA12	Q791N7	NP_075651	NM_023162	ENSMUST00000057564;ENSMUST00000113669	MGI:1913386	123	13.65	81935.75	8526.55	26431.6	18.62	19.68	19.14	24.71	18.23	21.22	5.03	4.59	4.81	2.95	3.32	3.13	231.22	25.59	76.92
IPI00124479.2;IPI00127135.2;IPI00867847.1;IPI00881982.1;IPI00136775.1	Kinesin-like protein KIF2A	Kif2a;Kif2;Kns2	Isoform 1 of Kinesin-like protein KIF2A;Isoform 3 of Kinesin-like protein KIF2A;Isoform 2 of Kinesin-like protein KIF2A;75 kDa protein	P28740-1;P28740;P28740-3;P28740-2	NP_032468;NP_001139251	NM_008442	ENSMUST00000022204;ENSMUST00000042181;ENSMUST00000122233	MGI:108390;MGI:108390;MGI:108390	716	80.86	81887.89	108767.3	94375.45	NA	NA	NA	35.36	37.94	36.63	7.59	8.57	8.07	NA	NA	NA	NA	NA	NA
IPI00116613.1;IPI00473868.1;IPI00849282.1	CCAAT/enhancer-binding protein beta;Interleukin-6-dependent-binding protein;Liver-enriched transcriptional activator;AGP/EBP;NF-IL6	Cebpb	CCAAT/enhancer-binding protein beta;NF-IL6 (Fragment)	P28033;Q3UPN9;O70192	NP_034013	NM_009883	ENSMUST00000070642	MGI:88373;MGI:88373	296	31.45	81819.81	9081.56	27258.97	38.7	63.76	49.67	4.42	7.02	5.57	4.55	6.33	5.36	6.69	8.15	7.38	379.44	16.97	80.25
IPI00319270.2;IPI00666574.1	Mannose-6-phosphate receptor-binding protein 1;Cargo selection protein TIP47;TIP47 protein isoform 2	M6prbp1;Tip47	Perilipin-3;TIP47 protein isoform 2	Q9DBG5;Q3V4D2;Q2XSQ4	NP_080112	NM_025836	ENSMUST00000019726	MGI:1914155;MGI:1914155	437	47.26	81644.41	331563.62	164530.59	8.93	14.11	11.22	84.76	177.2	122.55	11.04	17.68	13.97	0.76	0.83	0.8	303.25	606.33	428.8
IPI00120046.1;IPI00283057.1	5'-3' exoribonuclease 2;Protein Dhm1	Xrn2;Dhm1	Isoform 1 of 5'-3' exoribonuclease 2;Isoform 2 of 5'-3' exoribonuclease 2	Q9DBR1-1;Q9DBR1;A2ATK1;Q9DBR1-2	NP_036047	NM_011917	ENSMUST00000028921	MGI:894687;MGI:894687	951	108.69	81569	109381.2	94456.94	33.45	28.39	30.82	47.78	49.06	48.42	11.18	11.82	11.5	2.82	2.21	2.5	96.23	138.27	115.35
IPI00652944.1	Putative uncharacterized protein	Fxr2;Fxr2h	Putative uncharacterized protein (Fragment)	Q3TA75			ENSMUST00000018909;ENSMUST00000108655	MGI:1346074	655	70.53	81355.55	72821.42	76970.3	NA	NA	NA	46.39	39.23	42.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00118360.1;IPI00283868.4	3'-5' exoribonuclease CSL4 homolog;Exosome component 1	Exosc1;Csl4	Isoform 1 of 3'-5' exoribonuclease CSL4 homolog;Isoform 2 of 3'-5' exoribonuclease CSL4 homolog	Q9DAA6-1;Q9DAA6;Q9DAA6-2	NP_079920;NP_001158033	NM_025644	ENSMUST00000075280;ENSMUST00000112123	MGI:1913833;MGI:1913833	195	21.42	81311.14	30103.44	49474.69	14.6	14.44	14.52	31.14	29.9	30.52	6.66	6.7	6.68	1.83	1.76	1.79	261.5	93.07	156
IPI00338211.4;IPI00515177.1;IPI00624235.3	Cytokine receptor-like factor 3;Cytokine receptor-related factor 4;Cytokine receptor-like molecule 9	Crlf3;Creme9;Cytor4	Isoform 1 of Cytokine receptor-like factor 3;41 kDa protein;Isoform 2 of Cytokine receptor-like factor 3	Q9Z2L7-1;Q9Z2L7;Q9Z2L7-2	NP_061246	NM_018776	ENSMUST00000061283;ENSMUST00000103233	MGI:1860086;MGI:1860086	442	49.56	81237.85	76423.03	78793.67	16.45	12.96	14.6	85.16	302.27	160.44	4.91	5.24	5.07	2.66	1.95	2.28	162.49	141.32	151.54
IPI00395140.2;IPI00649563.1	"L-xylulose reductase;Dicarbonyl/L-xylulose reductase;Dicarbonyl L-xylulose reductase;Dicarbonyl L-xylulose reductase, isoform CRA_a"	Dcxr;RP23-84C12.19-002;mCG_2129	"L-xylulose reductase;Dicarbonyl L-xylulose reductase, isoform CRA_a"	Q91X52;A2AC15;A2AC16	NP_080704		ENSMUST00000026144;ENSMUST00000106148	MGI:1915130;MGI:1915130	244	25.75	81134.41	14922.85	34795.93	NA	NA	NA	47.21	NA	47.21	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00387377.1;IPI00855186.2;IPI00889878.1;IPI00461270.1	Signal recognition particle 54 kDa protein;Srp54c protein;Putative uncharacterized protein	Srp54;Srp54c	Isoform 1 of Signal recognition particle 54 kDa protein;signal recognition particle 54C;Putative uncharacterized protein	P14576-1;P14576;Q99JZ9;Q8C1Y6	NP_001093579;NP_036029;NP_001093580		ENSMUST00000021407;ENSMUST00000101418;ENSMUST00000110703;ENSMUST00000110708	MGI:1346087;MGI:3714359;MGI:3714359	504	55.72	81080.16	172742.12	118346.78	NA	NA	NA	31.1	34.51	32.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00121834.1	Hcp beta-lactamase-like protein C1orf163 homolog		Hcp beta-lactamase-like protein C1orf163 homolog	Q921H9	NP_081526	NM_027250	ENSMUST00000073764	MGI:1917143	231	25.62	80961.1	32471.09	51272.75	3.38	2.42	2.86	98.71	NA	98.71	7.76	13.07	10.07	0.37	NA	0.37	766.16	NA	766.16
IPI00115542.1	Caspase-6;Apoptotic protease Mch-2;Caspase-6 subunit p18;Caspase-6 subunit p11	Casp6	Caspase-6	O08738;Q3TPJ9;Q99M47;Q9D089	NP_033941	NM_009811	ENSMUST00000029626	MGI:1312921	276	31.59	80900.86	154594.16	111833.81	9.48	12.15	10.73	214.48	610.46	361.84	7.71	9.25	8.44	1.06	1.14	1.1	240.6	292.13	265.11
IPI00125135.1;IPI00848555.1	Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-protein ligase D2;Ubiquitin carrier protein D2;Ubiquitin-conjugating enzyme E2-17 kDa 2;E2(17)KB 2	Ube2d2;Ubc4	Ubiquitin-conjugating enzyme E2 D2	P62838;Q3UT95	NP_064296	NM_019912	ENSMUST00000036976	MGI:1930715	147	16.73	80871.11	14482.38	34222.89	11.43	9.53	10.44	33.01	49.26	40.33	9.2	7.41	8.26	1.11	1.07	1.09	324.25	54.24	132.62
IPI00133532.1	Exosome complex exonuclease RRP46;Ribosomal RNA-processing protein 46;Exosome component 5	Exosc5;D7Wsu180e;Rrp46	Exosome complex exonuclease RRP46	Q9CRA8;Q3U2K4	NP_613052	NM_138586	ENSMUST00000079634	MGI:107889	235	25.19	80777.03	44360.04	59860.44	17.87	19.17	18.51	73.21	56.98	64.59	10.09	6.25	7.94	1.62	2.48	2	155.64	78.1	110.25
IPI00310701.4	Lipase maturation factor 2;Transmembrane protein 112B;Transmembrane protein 153	Lmf2;Tmem112b;Tmem153	Lipase maturation factor 2	Q8C3X8	NP_849250	NM_178919	ENSMUST00000023283	MGI:2146015	702	80	80639.17	140160.47	106312.86	NA	NA	NA	61.86	67.49	64.62	14.67	15.34	15	NA	NA	NA	NA	NA	NA
IPI00798468.1	Ubiquitin carboxyl-terminal hydrolase	Usp9x;RP23-216M21.1-001	Ubiquitin carboxyl-terminal hydrolase	A2AD18;Q4FE56;Q8BR77;Q8BS89;Q8C7T5	NP_033507	NM_009481	ENSMUST00000115466	MGI:894681	2558	290.58	80636.25	85223.83	82898.31	43.69	49.58	46.54	21.23	21.85	21.54	14.49	18.19	16.24	3.08	2.87	2.97	106.2	91.88	98.78
IPI00330933.6	APAF1-interacting protein;Monocyte/macrophage protein 19	Apip;Mmrp19	APAF1-interacting protein	Q9WVQ5;A2AWH9	NP_062709	NM_019735	ENSMUST00000011055	MGI:1926788	241	26.95	80584.35	50501.79	63793.84	15.55	8.84	11.72	68.64	98.18	82.09	8.11	13.44	10.44	1.66	0.63	1.02	181.47	165.14	173.12
IPI00221608.3	Sorting and assembly machinery component 50 homolog	Samm50	Sorting and assembly machinery component 50 homolog	Q8BGH2	NP_848729	NM_178614	ENSMUST00000023071	MGI:1915903	469	51.86	80577.66	110006.03	94148.97	56.63	55.68	56.16	178.96	260.26	215.82	13.51	11.67	12.55	4.18	4.38	4.28	41.16	48.41	44.64
IPI00162942.1	"39S ribosomal protein L37, mitochondrial;MRP-L37"	Mrpl37	"39S ribosomal protein L37, mitochondrial"	Q921S7;B1AS38	NP_079776	NM_025500	ENSMUST00000030365	MGI:1926268	423	48.34	80473.53	30133.82	49244.03	29.05	24.22	26.53	66.87	NA	66.87	12.42	8.23	10.11	2.27	NA	2.27	97.97	NA	97.97
IPI00928546.1;IPI00675346.2;IPI00882076.2;IPI00903423.1	Myosin-IXa;Unconventional myosin-9a	Myo9a;Myr7	myosin IXa;Isoform 2 of Myosin-IXa;Isoform 1 of Myosin-IXa	Q8C170-2;Q8C170;Q8C170-1	NP_766606	NM_173018	ENSMUST00000085572	MGI:107735;MGI:107735	2631	301.83	80138.43	59139.51	68842.92	2.72	2.12	2.4	50.13	58.73	54.26	6.34	7.07	6.7	0.35	0.25	0.3	1138.2	931.02	1029.41
IPI00317932.4;IPI00857684.1;IPI00856672.1;IPI00857509.1	Protein YIF1B;YIP1-interacting factor homolog B	Yif1b	Isoform 1 of Protein YIF1B;Isoform 2 of Protein YIF1B;27 kDa protein;19 kDa protein	Q9CX30-1;Q9CX30;Q9CX30-2	NP_084163;NP_001103671	NM_029887	ENSMUST00000032809	MGI:1924504;MGI:1924504	311	33.98	80065.73	38110.03	55238.64	22.45	21.73	22.09	36.06	49.77	42.37	20.06	25.75	22.73	1.29	1.02	1.15	157.77	62.78	99.53
IPI00338785.3	Laminin subunit beta-1	Lamb1-1;Lamb-1	laminin B1 subunit 1	P02469;B9EKB0;Q0V927;Q3TNZ8;Q3UHL7;Q3UR38;Q8K271;Q9CRX6	NP_032508	NM_008482	ENSMUST00000002979	MGI:96743	1834	202.44	79967.52	108292.45	93058.47	69.1	114.4	88.91	7.68	8.13	7.9	17.59	21.08	19.26	4.3	6.05	5.1	132.91	100.97	115.85
IPI00120073.1	FK506-binding protein 7;Peptidyl-prolyl cis-trans isomerase;FKBP-23	Fkbp7;Fkbp23	Peptidyl-prolyl cis-trans isomerase FKBP7	O54998;Q3UU11	NP_034352	NM_010222	ENSMUST00000002809	MGI:1336879	218	24.91	79889.1	79724.61	79806.81	8.77	14.81	11.39	31.85	83.04	51.42	9.47	14.65	11.78	0.83	0.99	0.91	424.79	162.52	262.75
IPI00135207.3;IPI00943440.1;IPI00753725.3	Cell division cycle and apoptosis regulator protein 1;Cell cycle and apoptosis regulatory protein 1	Ccar1;Carp1	Isoform 1 of Cell division cycle and apoptosis regulator protein 1;Isoform 3 of Cell division cycle and apoptosis regulator protein 1	Q8CH18-1;Q8CH18;Q8CH18-3	NP_080477	NM_026201	ENSMUST00000020268;ENSMUST00000105443	MGI:1914750;MGI:1914750	1146	132.06	79848.19	45161.28	60050.37	29.87	23.21	26.33	49.39	75.01	60.86	6.62	14.04	9.64	3.76	1.6	2.45	103.82	60.44	79.21
IPI00469947.2;IPI00750502.1;IPI00751800.1;IPI00755735.1;IPI00653242.1	"Protein lunapark;Protein ulnaless;Limb and neural patterns;Limb and neural patterns, isoform CRA_c"	Lnp;Kiaa1715;Uln;RP23-313J15.1-004;mCG_13964;RP23-313J15.1-012;RP23-313J15.1-009	Protein lunapark;lunapark isoform b;Limb and neural patterns;Limb and neural patterns	Q7TQ95;A2ASL8;A2ASM0;A2ASM1	NP_081409;NP_001103679	NM_027133	ENSMUST00000064503;ENSMUST00000102676;ENSMUST00000111993	MGI:1918115;MGI:1918115;MGI:1918115;MGI:1918115	425	47.5	79763.51	49946.25	63118.05	2.55	2.28	2.41	62.8	82.22	71.86	9.18	11.22	10.15	0.25	0.18	0.21	1124.64	662.44	863.14
